"tekst","numer","typ","rok_budowy","wielkosc","x","y","DP","RP","MP"
"nr 49 typ RP rok 1987 wielkosc 23 x 418 y 295","49","RP","1987","23","418","295","","49",""
"nr 50 typ RP rok 1992 wielkosc 24 x 355 y 305","50","RP","1992","24","355","305","","50",""
"nr 51 typ MP rok 2003 wielkosc 15 x 404 y 273","51","MP","2003","15","404","273","","","51"
"nr 52 typ DP rok 1980 wielkosc 40 x 360 y 263","52","DP","1980","40","360","263","52","",""
"nr 53 typ RP rok 1984 wielkosc 24 x 375 y 231","53","RP","1984","24","375","231","","53",""
"nr 54 typ RP rok 1989 wielkosc 23 x 355 y 216","54","RP","1989","23","355","216","","54",""
"nr 55 typ MP rok 2000 wielkosc 17 x 142 y 386","55","MP","2000","17","142","386","","","55"
"nr 56 typ DP rok 1978 wielkosc 39 x 106 y 375","56","DP","1978","39","106","375","56","",""
"nr 57 typ RP rok 1986 wielkosc 25 x 101 y 453","57","RP","1986","25","101","453","","57",""
"nr 58 typ RP rok 1991 wielkosc 24 x 73 y 444","58","RP","1991","24","73","444","","58",""
"nr 59 typ MP rok 2001 wielkosc 16 x 63 y 470","59","MP","2001","16","63","470","","","59"
"nr 60 typ DP rok 1982 wielkosc 41 x 57 y 507","60","DP","1982","41","57","507","60","",""
"nr 61 typ RP rok 1987 wielkosc 23 x 50 y 538","61","RP","1987","23","50","538","","61",""
"nr 62 typ RP rok 1992 wielkosc 24 x 89 y 523","62","RP","1992","24","89","523","","62",""
"nr 63 typ MP rok 2002 wielkosc 17 x 51 y 574","63","MP","2002","17","51","574","","","63"
"nr 64 typ DP rok 1984 wielkosc 40 x 57 y 602","64","DP","1984","40","57","602","64","",""
"nr 65 typ RP rok 1988 wielkosc 25 x 84 y 600","65","RP","1988","25","84","600","","65",""
